Season_Number,Guest_Star_Name,Episode_Title
27,Kevin Michael Richardson[J],"""Orange Is the New Yellow"""
28,Amy Schumer,"""Monty Burns' Fleeing Circus"""
28,Pendleton Ward,"""Monty Burns' Fleeing Circus"""
28,Allison Janney,"""Friends and Family"""
28,Bill Burr,"""The Town"""
28,Michael Chiklis,"""The Town"""
28,Rachel Dratch,"""The Town"""
28,Doris Kearns Goodwin,"""The Town"""
28,Dana Gould,"""The Town"""
28,Mike Mitchell,"""The Town"""
28,Jason Nash,"""The Town"""
28,Drew Carey,"""Treehouse of Horror XXVII"""
28,Donald Fagen,"""Treehouse of Horror XXVII"""
28,Kelsey Grammer,"""Treehouse of Horror XXVII"""
28,Maurice LaMarche,"""Treehouse of Horror XXVII"""
28,Judith Owen,"""Treehouse of Horror XXVII"""
28,Sarah Silverman,"""Treehouse of Horror XXVII"""
28,Dan Rather,"""Trust But Clarify"""
28,Stacy Keach,"""Havana Wild Weekend"""
28,Deb Lacusta,"""Havana Wild Weekend"""
28,Matt Leinart,"""Dad Behavior"""
28,Wayne Gretzky,"""The Nightmare After Krustmas"""
28,Theo Jansen,"""The Nightmare After Krustmas"""
28,Natasha Lyonne,"""The Nightmare After Krustmas"""
28,Jackie Mason,"""The Nightmare After Krustmas"""
28,Joyce Carol Oates,"""Pork and Burns"""
28,Michael York,"""Pork and Burns"""
28,Charles Barkley,"""The Great Phatsby: Part One"""
28,Phil LaMarr,"""The Great Phatsby: Part One"""
28,Jim Beanz,"""The Great Phatsby: Part One""""The Great Phatsby: Part Two"""
28,V. Bozeman,"""The Great Phatsby: Part One""""The Great Phatsby: Part Two"""
28,Charlean Carmon,"""The Great Phatsby: Part One""""The Great Phatsby: Part Two"""
28,Keegan-Michael Key,"""The Great Phatsby: Part One""""The Great Phatsby: Part Two"""
28,Dawnn Lewis,"""The Great Phatsby: Part One""""The Great Phatsby: Part Two"""
28,Sally Stevens,"""The Great Phatsby: Part One""""The Great Phatsby: Part Two"""
28,Destiny Torres,"""The Great Phatsby: Part One""""The Great Phatsby: Part Two"""
28,Common,"""The Great Phatsby: Part Two"""
28,Snoop Dogg,"""The Great Phatsby: Part Two"""
28,Taraji P. Henson,"""The Great Phatsby: Part Two"""
28,RZA,"""The Great Phatsby: Part Two"""
28,Glenn Close,"""Fatzcarraldo"""
28,Magnus Carlsen,"""The Cad and the Hat"""
28,Seth Green,"""The Cad and the Hat"""
28,Patton Oswalt,"""The Cad and the Hat"""
28,Lizzy Caplan,"""Kamp Krustier"""
28,Michael Sheen,"""Kamp Krustier"""
28,Stephen Curry,"""22 for 30"""
28,Earl Mann,"""22 for 30"""
28,Joe Mantegna,"""22 for 30"""
28,Vanessa Bayer,"""A Father's Watch"""
28,Brian Posehn,"""A Father's Watch"""
28,Rob Riggle,"""A Father's Watch"""
28,Adam Silver,"""A Father's Watch"""
28,Jason Alexander,"""The Caper Chase"""
28,Ken Jennings,"""The Caper Chase"""
28,Stan Lee,"""The Caper Chase"""
28,Robert McKee,"""The Caper Chase"""
28,Suze Orman,"""The Caper Chase"""
28,Neil deGrasse Tyson,"""The Caper Chase"""
28,Valerie Harper,"""Looking for Mr. Goodbart"""
28,Kipp Lennon,"""Looking for Mr. Goodbart"""
28,Jennifer Saunders,"""Looking for Mr. Goodbart"""
28,Valerie Harper,"""Moho House"""
28,Michael York,"""Moho House"""
28,Michael York,"""Dogtown"""
29,Billy Boyd,"""The Serfsons"""
29,Nikolaj Coster-Waldau,"""The Serfsons"""
29,Alison Bechdel,"""Springfield Splendor"""
29,Rachel Bloom,"""Springfield Splendor"""
29,Roz Chast,"""Springfield Splendor"""
29,Dan Harmon,"""Springfield Splendor"""
29,Kipp Lennon,"""Springfield Splendor"""
29,Marjane Satrapi,"""Springfield Splendor"""
29,Martin Short,"""Springfield Splendor"""
29,Nick Fascitelli,"""Whistler's Father"""
29,Valerie Harper,"""Whistler's Father"""
29,Joe Mantegna,"""Whistler's Father"""
29,Mario Batali,"""Treehouse of Horror XXVIII"""
29,Ben Daniels,"""Treehouse of Horror XXVIII"""
29,William Friedkin,"""Treehouse of Horror XXVIII"""
29,Neil Gaiman,"""Treehouse of Horror XXVIII"""
29,Carolyn Omine,"""The Old Blue Mayor She Ain't What She Used to Be"""
29,Kat Dennings,"""Mr. Lisa's Opus"""
29,Valerie Harper,"""Mr. Lisa's Opus"""
29,Norman Lear,"""Mr. Lisa's Opus"""
29,Kipp Lennon,"""Mr. Lisa's Opus"""
29,Jon Lovitz,"""Mr. Lisa's Opus"""
29,Kelsey Grammer,"""Gone Boy"""
29,Valerie Harper,"""Gone Boy"""
29,John F. Kennedy (archival),"""Gone Boy"""
29,Shaquille O'Neal,"""Gone Boy"""
29,Ed Sheeran,"""Haw-Haw Land"""
29,Valerie Harper,"""Frink Gets Testy"""
29,Maurice LaMarche,"""Frink Gets Testy"""
29,Bill Hader,"""Homer Is Where the Art Isn't"""
29,Cecily Strong,"""Homer Is Where the Art Isn't"""
29,John Baldessari,"""3 Scenes Plus a Tag from a Marriage"""
29,Kevin Pollak,"""3 Scenes Plus a Tag from a Marriage"""
29,J. K. Simmons,"""3 Scenes Plus a Tag from a Marriage"""
29,Andy Daly,"""Fears of a Clown"""
29,Damian Kulash[K],"""Fears of a Clown"""
29,Dawnn Lewis,"""Fears of a Clown"""
29,Jon Lovitz,"""Fears of a Clown"""
29,Jackie Mason,"""Fears of a Clown"""
29,Tim Nordwind[K],"""Fears of a Clown"""
29,Daniel Radcliffe,"""No Good Read Goes Unpunished"""
29,Jimmy O. Yang,"""No Good Read Goes Unpunished"""
29,Ray Liotta,"""King Leer"""
29,Debi Mazar,"""King Leer"""
29,Jonathan Schmock,"""King Leer"""
29,Dawnn Lewis,"""Lisa Gets the Blues"""
29,Trombone Shorty,"""Lisa Gets the Blues"""
29,Glenn Close,"""Forgive and Regret"""
29,Caitlin Parrott,"""Forgive and Regret"""
29,Michael Dees,"""Left Behind"""
29,Marcia Wallace[L],"""Left Behind"""
29,Sidse Babett Knudsen,"""Throw Grampa from the Dane"""
29,Jackie Mason,"""Flanders' Ladder"""
30,Dave Attell,"""Bart's Not Dead""[143]"
30,Emily Deschanel,"""Bart's Not Dead""[143]"
30,Gal Gadot,"""Bart's Not Dead""[143]"
30,Jonathan Groff,"""Bart's Not Dead""[144]"
30,Pete Holmes,"""Bart's Not Dead""[143]"
30,Joe Clabby,"""Heartbreak Hotel"""
30,Rhys Darby,"""Heartbreak Hotel""[145]"
30,Renee Ridgeley,"""Heartbreak Hotel"""
30,George Segal,"""Heartbreak Hotel[146]"
30,H. Jon Benjamin,"""My Way or the Highway to Heaven"""
30,Jon Lovitz,"""My Way or the Highway to Heaven"""
30,Dan Mintz,"""My Way or the Highway to Heaven"""
30,Eugene Mirman,"""My Way or the Highway to Heaven"""
30,Ted Moock,"""My Way or the Highway to Heaven"""
30,Tracy Morgan,"""My Way or the Highway to Heaven""[147]"
30,John Roberts,"""My Way or the Highway to Heaven"""
30,Kristen Schaal,"""My Way or the Highway to Heaven"""
30,Tracy Morgan,"""Baby You Can't Drive My Car""[147]"
30,Jon Lovitz,"""From Russia Without Love"""
30,Ksenia Solo,"""From Russia Without Love"""
30,Raja / Sutan Amrull,"""Werking Mom""[148]"
30,RuPaul,"""Werking Mom""[144]"
30,Scott Thompson,"""Werking Mom""[144]"
30,Billy Eichner,"""Krusty the Clown""[144]"
30,Peter Serafinowicz,"""Krusty the Clown""[149]"
30,Phillip Alford (archival),"""Daddicus Finch"""
30,Mary Badham (archival),"""Daddicus Finch""[145]"
30,Jon Lovitz,"""Daddicus Finch""[150]"
30,John Megna (archival),"""Daddicus Finch"""
30,Gregory Peck (archival),"""Daddicus Finch""[145]"
30,J. K. Simmons,"""Daddicus Finch""[143][151]"
30,Jane Lynch,"""'Tis the 30th Season""[144]"
30,Bryan Batt,"""Mad About the Toy""[152]"
30,Bill de Blasio,"""Mad About the Toy""[153]"
30,Lawrence O'Donnell,"""Mad About the Toy""[144]"
30,Terry Gross,"""The Girl on the Bus""[154]"
30,Patti LuPone,"""The Girl on the Bus""[143][144]"
