,Season,Guest star,Episode title
156,5,Michelle Pfeiffer,"""The Last Temptation of Homer""[118]"
157,5,Marcia Wallace,"""The Last Temptation of Homer""[118]"
158,5,Gerry Cooney,"""$pringfield (Or, How I Learned toStop Worrying and Love Legalized Gambling)""[119]"
159,5,Robert Goulet,"""$pringfield (Or, How I Learned toStop Worrying and Love Legalized Gambling)""[119]"
160,5,Sam Neill,"""Homer the Vigilante""[120]"
161,5,Conan O'Brien,"""Bart Gets Famous""[121]"
162,5,Marcia Wallace,"""Bart Gets Famous"""
163,5,Michael Carrington,"""Homer and Apu""[70]"
164,5,James Woods,"""Homer and Apu""[122]"
165,5,Kathleen Turner,"""Lisa vs. Malibu Stacy""[123]"
166,5,Buzz Aldrin,"""Deep Space Homer""[124]"
167,5,James Taylor,"""Deep Space Homer""[124]"
168,5,Phil Hartman,"""Burns' Heir""[125]"
169,5,Marcia Wallace,"""Sweet Seymour Skinner's Baadasssss Song"""
170,5,Frank Welker,"""Sweet Seymour Skinner's Baadasssss Song""[70]"
171,5,Phil Hartman,"""The Boy Who Knew Too Much""[126]"
172,5,Marcia Wallace,"""The Boy Who Knew Too Much"""
173,5,Phil Hartman,"""Lady Bouvier's Lover""[127]"
174,5,Kipp Lennon,"""Lady Bouvier's Lover""[127]"
175,5,Phil Hartman,"""Secrets of a Successful Marriage""[128]"
176,5,Marcia Wallace,"""Secrets of a Successful Marriage"""
177,6,Winona Ryder,"""Lisa's Rival""[129]"
178,6,Henry Corden,"""Sideshow Bob Roberts""[130]"
179,6,Dr. Demento,"""Sideshow Bob Roberts""[131]"
180,6,Kelsey Grammer,"""Sideshow Bob Roberts""[131]"
181,6,Phil Hartman,"""Sideshow Bob Roberts""[130]"
182,6,Larry King,"""Sideshow Bob Roberts""[131]"
183,6,Marcia Wallace,"""Sideshow Bob Roberts""[131]"
184,6,James Earl Jones,"""Treehouse of Horror V""[132]"
185,6,Marcia Wallace,"""Treehouse of Horror V"""
186,6,Meryl Streep,"""Bart's Girlfriend""[133]"
187,6,Marcia Wallace,"""Lisa on Ice"""
188,6,Dennis Franz,"""Homer Badman""[134]"
189,6,Phil Hartman,"""Grampa vs. Sexual Inadequacy""[135]"
190,6,Anne Bancroft,"""Fear of Flying""[136]"
191,6,Ted Danson,"""Fear of Flying""[136]"
192,6,Woody Harrelson,"""Fear of Flying""[136]"
193,6,John Ratzenberger,"""Fear of Flying""[136]"
194,6,Rhea Perlman,"""Fear of Flying""[136]"
195,6,George Wendt,"""Fear of Flying""[136]"
196,6,Patrick Stewart,"""Homer the Great""[137]"
197,6,Dick Cavett,"""Homie the Clown""[138]"
198,6,Joe Mantegna,"""Homie the Clown""[138]"
199,6,Johnny Unitas,"""Homie the Clown""[138]"
200,6,Phil Hartman,"""Bart vs. Australia""[139]"
201,6,Mel Brooks,"""Homer vs. Patty and Selma""[140]"
202,6,Susan Sarandon,"""Homer vs. Patty and Selma""[140]"
203,6,Phil Hartman,"""A Star Is Burns""[141]"
204,6,Maurice LaMarche,"""A Star Is Burns""[141]"
205,6,Jon Lovitz,"""A Star Is Burns""[141]"
206,6,Phil Hartman,"""Lisa's Wedding""[142]"
207,6,Mandy Patinkin,"""Lisa's Wedding""[143]"
208,6,Frank Welker,"""Two Dozen and One Greyhounds""[70]"
209,6,Marcia Wallace,"""The PTA Disbands"""
210,6,Steve Allen,"""'Round Springfield""[144]"
211,6,Phil Hartman,"""'Round Springfield""[145]"
212,6,Ron Taylor,"""'Round Springfield""[144]"
213,6,Marcia Wallace,"""'Round Springfield""[144]"
214,6,Phil Hartman,"""The Springfield Connection""[146]"
215,6,Marcia Wallace,"""The Springfield Connection"""
216,6,Marcia Wallace,"""Lemon of Troy"""
217,6,Tito Puente,"""Who Shot Mr. Burns? Part 1""[147]"
218,7,Tito Puente,"""Who Shot Mr. Burns? Part 2""[148]"
219,7,Phil Hartman,"""Radioactive Man""[149]"
220,7,Mickey Rooney,"""Radioactive Man""[150]"
221,7,Joan Kenley,"""Home Sweet Homediddly-Dum-Doodily""[151]"
222,7,Marcia Wallace,"""Home Sweet Homediddly-Dum-Doodily"""
223,7,Frank Welker,"""Home Sweet Homediddly-Dum-Doodily""[70]"
224,7,Phil Hartman,"""Lisa the Vegetarian""[152]"
225,7,Linda McCartney,"""Lisa the Vegetarian""[153]"
226,7,Paul McCartney,"""Lisa the Vegetarian""[153]"
227,7,Paul Anka,"""Treehouse of Horror VI""[154]"
228,7,Marcia Wallace,"""Treehouse of Horror VI"""
229,7,Joan Kenley,"""King-Size Homer""[155]"
230,7,Glenn Close,"""Mother Simpson""[156]"
231,7,Harry Morgan,"""Mother Simpson""[156]"
232,7,R. Lee Ermey,"""Sideshow Bob's Last Gleaming""[157]"
233,7,Kelsey Grammer,"""Sideshow Bob's Last Gleaming""[157]"
234,7,Phil Hartman,"""The Simpsons 138th Episode Spectacular""[158][159]"
235,7,Phil Hartman,"""Marge Be Not Proud""[160]"
236,7,Lawrence Tierney,"""Marge Be Not Proud""[161]"
237,7,Marcia Wallace,"""Team Homer"""
238,7,Tom Kite,"""Scenes from the Class Struggle in Springfield""[162]"
239,7,Phil Hartman,"""Bart the Fink""[163]"
240,7,Bob Newhart,"""Bart the Fink""[164]"
241,7,Phil Hartman,"""Lisa the Iconoclast""[165]"
242,7,Donald Sutherland,"""Lisa the Iconoclast""[166]"
243,7,Marcia Wallace,"""Lisa the Iconoclast"""
244,7,Kirk Douglas,"""The Day the Violence Died""[167]"
245,7,Phil Hartman,"""The Day the Violence Died""[168]"
246,7,Alex Rocco,"""The Day the Violence Died""[167]"
